GVF,PR,RE,NU
0.993897,0.400292,9.43606,4.46433
0.997896,0.322234,7.62136,4.2773
0.997896,0.322234,7.62136,4.2773
0.998536,0.271513,6.42407,4.15312
0.998536,0.271513,6.42407,4.15312
0.998925,0.248703,5.88606,4.0889
0.998925,0.248703,5.88606,4.0889
0.999074,0.238129,5.63574,4.0573
0.999074,0.238129,5.63574,4.0573
0.999488,0.231344,5.47745,4.03682
0.999488,0.231344,5.47745,4.03682
0.999861,0.226183,5.35576,4.01903
0.999861,0.226183,5.35576,4.01903
0.999999,0.220682,5.22648,4.0033
0.999999,0.220682,5.22648,4.0033
1,0.214283,5.07493,3.98477
1,0.214283,5.07493,3.98477
1,0.20737,4.9112,3.96651
1,0.20737,4.9112,3.96651
1,0.199617,4.72759,3.94668
1,0.199617,4.72759,3.94668
1,0.191727,4.54074,3.92591
1,0.191727,4.54074,3.92591
1,0.184416,4.3676,3.90417
1,0.184416,4.3676,3.90417
1,0.177575,4.20558,3.88416
1,0.177575,4.20558,3.88416
1,0.171386,4.05899,3.86721
1,0.171386,4.05899,3.86721
1,0.165859,3.9281,3.85182
1,0.165859,3.9281,3.85182
1,0.160813,3.80859,3.83733
1,0.160813,3.80859,3.83733
1,0.156181,3.69889,3.82486
1,0.156181,3.69889,3.82486
1,0.151853,3.59639,3.81226
1,0.151853,3.59639,3.81226
1,0.147925,3.50337,3.8015
1,0.147925,3.50337,3.8015
1,0.144421,3.42037,3.79189
1,0.144421,3.42037,3.79189
1,0.141277,3.3459,3.78228
1,0.141277,3.3459,3.78228
1,0.138451,3.27899,3.77386
1,0.138451,3.27899,3.77386
1,0.135843,3.21722,3.76639
1,0.135843,3.21722,3.76639
1,0.133357,3.15834,3.75825
1,0.133357,3.15834,3.75825
1,0.13097,3.10181,3.74963
1,0.13097,3.10181,3.74963
1,0.128824,3.05098,3.74215
1,0.128824,3.05098,3.74215
1,0.126868,3.00465,3.73521
1,0.126868,3.00465,3.73521
1,0.125094,2.96265,3.72887
1,0.125094,2.96265,3.72887
1,0.123586,2.92693,3.72503
1,0.123586,2.92693,3.72503
1,0.122187,2.89379,3.72078
1,0.122187,2.89379,3.72078
1,0.120856,2.86228,3.71588
1,0.120856,2.86228,3.71588
1,0.119628,2.83319,3.71181
1,0.119628,2.83319,3.71181
1,0.118478,2.80596,3.70777
1,0.118478,2.80596,3.70777
1,0.117397,2.78035,3.7036
1,0.117397,2.78035,3.7036
1,0.116446,2.75783,3.69988
1,0.116446,2.75783,3.69988
1,0.115624,2.73836,3.69661
1,0.115624,2.73836,3.69661
1,0.114938,2.72212,3.69469
1,0.114938,2.72212,3.69469
1,0.114299,2.70697,3.69288
1,0.114299,2.70697,3.69288
1,0.113763,2.69428,3.69272
1,0.113763,2.69428,3.69272
1,0.113212,2.68123,3.6917
1,0.113212,2.68123,3.6917
1,0.112617,2.66714,3.68955
1,0.112617,2.66714,3.68955
1,0.112008,2.65273,3.6865
1,0.112008,2.65273,3.6865
1,0.111488,2.6404,3.68518
1,0.111488,2.6404,3.68518
1,0.111028,2.62951,3.68436
1,0.111028,2.62951,3.68436
1,0.110566,2.61857,3.68303
1,0.110566,2.61857,3.68303
1,0.110081,2.60708,3.68128
1,0.110081,2.60708,3.68128
1,0.109598,2.59565,3.67955
1,0.109598,2.59565,3.67955
1,0.109126,2.58447,3.67764
1,0.109126,2.58447,3.67764
1,0.108691,2.57417,3.67572
1,0.108691,2.57417,3.67572
1,0.108317,2.5653,3.67485
1,0.108317,2.5653,3.67485
1,0.107984,2.55742,3.67481
1,0.107984,2.55742,3.67481
1,0.107617,2.54873,3.67358
1,0.107617,2.54873,3.67358
1,0.107222,2.53937,3.67168
1,0.107222,2.53937,3.67168
1,0.106844,2.53042,3.67032
1,0.106844,2.53042,3.67032
1,0.106468,2.52152,3.66835
1,0.106468,2.52152,3.66835
1,0.106158,2.51419,3.66812
1,0.106158,2.51419,3.66812
1,0.105863,2.50718,3.66713
1,0.105863,2.50718,3.66713
1,0.105601,2.50098,3.66718
1,0.105601,2.50098,3.66718
1,0.105327,2.49449,3.6666
1,0.105327,2.49449,3.6666
1,0.105052,2.48799,3.66609
1,0.105052,2.48799,3.66609
1,0.104759,2.48105,3.66443
1,0.104759,2.48105,3.66443
1,0.10449,2.47466,3.6632
1,0.10449,2.47466,3.6632
1,0.104272,2.46951,3.6634
1,0.104272,2.46951,3.6634
1,0.104065,2.46461,3.66356
1,0.104065,2.46461,3.66356
1,0.103833,2.45912,3.66295
1,0.103833,2.45912,3.66295
1,0.103594,2.45346,3.6622
1,0.103594,2.45346,3.6622
1,0.103358,2.44785,3.66133
1,0.103358,2.44785,3.66133
1,0.10311,2.442,3.65982
1,0.10311,2.442,3.65982
1,0.102881,2.43658,3.65854
1,0.102881,2.43658,3.65854
1,0.102673,2.43163,3.65713
1,0.102673,2.43163,3.65713
1,0.102532,2.42831,3.6576
1,0.102532,2.42831,3.6576
1,0.102395,2.42506,3.65765
1,0.102395,2.42506,3.65765
1,0.102248,2.42158,3.65757
1,0.102248,2.42158,3.65757
1,0.102075,2.41747,3.65663
1,0.102075,2.41747,3.65663
1,0.101902,2.41339,3.65553
1,0.101902,2.41339,3.65553
1,0.101751,2.40981,3.655
1,0.101751,2.40981,3.655
1,0.101624,2.40679,3.65455
1,0.101624,2.40679,3.65455
1,0.101533,2.40463,3.65458
1,0.101533,2.40463,3.65458
1,0.101455,2.40279,3.65444
1,0.101455,2.40279,3.65444
1,0.101418,2.40192,3.65551
